Checking naming conventions...
Invalid naming convention: user-service.test.mjs
Invalid naming convention: migrations.test.js
Invalid naming convention: auth.test.mjs
Invalid naming convention: server.test.js
Invalid naming convention: demo-flow.test.mjs
Invalid naming convention: test-helpers.js
Invalid naming convention: auth.test.js
Invalid naming convention: security.test.js
Invalid naming convention: security.test.mjs
Invalid naming convention: news-service.test.mjs
Invalid naming convention: news-service.test.js
Invalid naming convention: user-registration.spec.js
Invalid naming convention: server.test.mjs
Invalid naming convention: bill-service.test.mjs
Invalid naming convention: vote-service.test.mjs
Invalid naming convention: user-service.test.mjs
Invalid naming convention: party-service.test.mjs
Invalid naming convention: users.test.mjs
Invalid naming convention: bills.test.mjs
Invalid naming convention: votes.test.mjs
Invalid naming convention: playwright.config.js
Invalid naming convention: README.md
Invalid naming convention: jest.config.cjs
Invalid naming convention: budgets.json
Invalid naming convention: tsconfig.json
Invalid naming convention: news.json
Invalid naming convention: debug_vote_request.mjs
Invalid naming convention: tsconfig.spec.json
Invalid naming convention: news-service.js
Invalid naming convention: index.js
Invalid naming convention: README.md
Invalid naming convention: 001-initial-schema.js
Invalid naming convention: migration-error.js
Invalid naming convention: .eslintrc.json
Invalid naming convention: server.js
Invalid naming convention: http-utils.js
Invalid naming convention: auth.js
Invalid naming convention: newsStore.js
Invalid naming convention: party-store.ts
Invalid naming convention: migrations.ts
Invalid naming convention: bill-store.ts
Invalid naming convention: index.ts
Invalid naming convention: vote-store.ts
Invalid naming convention: user-store.ts
Invalid naming convention: index.js
Invalid naming convention: config.js
Invalid naming convention: vote-store.js
Invalid naming convention: otel.ts
Invalid naming convention: user-store.js
Invalid naming convention: news-store.js
Invalid naming convention: bill-store.js
Invalid naming convention: party-service.ts
Invalid naming convention: debate-service.ts
Invalid naming convention: user-service.ts
Invalid naming convention: bill-service.ts
Invalid naming convention: session-service.ts
Invalid naming convention: division-service.ts
Invalid naming convention: vote-service.ts
Invalid naming convention: index.ts
Invalid naming convention: party-store.js
Invalid naming convention: votes.js
Invalid naming convention: parties.js
Invalid naming convention: users.js
Invalid naming convention: bills.js
Invalid naming convention: migrations.js
Invalid naming convention: outputs.tf
Invalid naming convention: main.tf
Invalid naming convention: variables.tf
Invalid naming convention: create-cluster.sh
Invalid naming convention: port-forward-vault.sh
Invalid naming convention: project.json
Invalid naming convention: example.test.mjs
Invalid naming convention: example.test.cjs
Invalid naming convention: broken-test.mjs
Invalid naming convention: ann-recall.test.mjs
Invalid naming convention: api.test.mjs
Invalid naming convention: README.md
Invalid naming convention: performance-benchmarking.js
Invalid naming convention: ui-visual-testing.js
Invalid naming convention: integration-tests.js
Invalid naming convention: accessibility-testing.js
Invalid naming convention: chaos-engineering.js
Invalid naming convention: jest.config.cjs
Invalid naming convention: performance-monitor.js
Invalid naming convention: pr-desc.mjs
Invalid naming convention: commit-msg.mjs
Invalid naming convention: metrics-aggregator.mjs
Invalid naming convention: telemetry-dashboard.mjs
Invalid naming convention: ml-pipeline.js
Invalid naming convention: predictive-analytics.js
Invalid naming convention: review-pr.mjs
Invalid naming convention: copilot-experiment-log.mjs
Invalid naming convention: learning.js
Invalid naming convention: governance.js
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: context-indexer.mjs
Invalid naming convention: prompt-standards.md
Invalid naming convention: blackbox-review.mjs
Invalid naming convention: knowledge-base.md
Invalid naming convention: seed-data.sh
Invalid naming convention: .env.local.example
Invalid naming convention: .env.example
Invalid naming convention: prometheus.yml
Invalid naming convention: alerts.yml
Invalid naming convention: dashboard.yml
Invalid naming convention: kpi-dashboard.json
Invalid naming convention: political-sphere-overview.json
Invalid naming convention: rules.yml
Invalid naming convention: prometheus.yml
Invalid naming convention: project.json
Invalid naming convention: package-lock.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: tsconfig.base.json
Invalid naming convention: project.json
Invalid naming convention: package-lock.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: project.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: project.json
Invalid naming convention: package-lock.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: project.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: project.json
Invalid naming convention: package-lock.json
Invalid naming convention: package.json
Invalid naming convention: tsconfig.json
Invalid naming convention: index.ts
Invalid naming convention: login.spec.ts
Invalid naming convention: home.spec.ts
Invalid naming convention: README.md
Invalid naming convention: playwright.config.ts
Invalid naming convention: project.json
Invalid naming convention: aggregator.test.js
Invalid naming convention: .gitignore
Invalid naming convention: README.md
Invalid naming convention: budgets.json
Invalid naming convention: .eslintrc.json
Invalid naming convention: aggregator.js
Invalid naming convention: index.js
Invalid naming convention: config.js
Invalid naming convention: outputs.tf
Invalid naming convention: autoscaling.tf
Invalid naming convention: main.tf
Invalid naming convention: kubernetes.tf
Invalid naming convention: business-intelligence.tf
Invalid naming convention: secrets.tf
Invalid naming convention: rbac.tf
Invalid naming convention: security.tf
Invalid naming convention: variables.tf
Invalid naming convention: compliance.tf
Invalid naming convention: tracing.tf
Invalid naming convention: logging.tf
Invalid naming convention: political_sphere.db
Invalid naming convention: project.json
Invalid naming convention: webpack.config.js
Invalid naming convention: README.md
Invalid naming convention: index.html
Invalid naming convention: webpack.config.cjs
Invalid naming convention: bootstrap.js
Invalid naming convention: index.js
Invalid naming convention: implementation_plan.md
Invalid naming convention: .markdownlint.json
Invalid naming convention: .eslintrc.json
Invalid naming convention: policy.rego
Invalid naming convention: jest.preset.cjs
Invalid naming convention: jest.env.js
Removing dead code...
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/frontend/tests/accessibility.spec.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/api/src/domain/debate-service.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/api/src/domain/session-service.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/api/src/domain/division-service.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/puppeteer/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/filesystem/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/sqlite/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/github/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/political-sphere/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/mcp-servers/git/src/index.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/e2e/tests/login.spec.ts
Removing dead code file: /Users/morganlowman/Documents/GitHub/political-sphere/apps/dev/e2e/tests/home.spec.ts
Organizing files (renaming to replace spaces with hyphens)...
Cleanup completed at Mon Nov  3 13:49:52 GMT 2025
